rfc_cliente, nombre_pila, apellido_paterno, apellido_materno,estado, codigo_postal, colonia, calle, numero, email, telefono
'EDMA921030PUE', 'Eduardo', 'Martínez', 'Aguirre', 'Puebla', '72190', 'Reserva Territorial Atlixcáyotl', 'Av. Oasis', '2304', 'eduardo.martinez@mail.com', '2223456015'
'FRAR870403VER', 'Francisco', 'Ramírez', 'Zamudio', 'Veracruz', '91900', 'Boca del Río', 'Blvd. Manuel Ávila Camacho', '403', 'francisco.ramirez@mail.com', '2291234099'
'GEVC930815NLN', 'Georgina', 'Velázquez', 'Cano', 'Nuevo León', '66220', 'San Pedro Garza García', 'Av. Vasconcelos', '151', 'georgina.velazquez@mail.com', '8189876124'
'HOMA940209QRO', 'Homero', 'Maldonado', 'Ocampo', 'Querétaro', '76100', 'Juriquilla', 'Blvd. Bernardo Quintana', '3882', 'homero.maldonado@mail.com', '4424561124'
'INES920111GTO', 'Inés', 'Salinas', 'González', 'Guanajuato', '37128', 'León', 'Blvd. Aeropuerto', '2106', 'ines.salinas@mail.com', '4777894457'
'JUSA950423MDF', 'Julio', 'Santos', 'Avilés', 'Ciudad de México', '05348', 'Santa Fe', 'Av. Vasco de Quiroga', '3802', 'julio.santos@mail.com', '5557891010'
'KARM910524YUC', 'Karen', 'Morales', 'Chávez', 'Yucatán', '97000', 'Centro', 'Calle 60', '487', 'karen.morales@mail.com', '9992345680'
'LIVT861006ROO', 'Livier', 'Trujillo', 'Valle', 'Quintana Roo', '77500', 'Zona Hotelera', 'Blvd. Kukulcán Km 12.5', 'S/N', 'livier.trujillo@mail.com', '9983456791'
'MAEL841207NLN', 'Manuel', 'Elizondo', 'López', 'Nuevo León', '64000', 'Centro', 'Av. Pino Suárez', '552', 'manuel.elizondo@mail.com', '8182345680'
'NOIR930828BCN', 'Noemí', 'Ibarra', 'Reynoso', 'Baja California', '22000', 'Zona Río', 'Blvd. Agua Caliente', '1235', 'noemi.ibarra@mail.com', '6644567892'
'OSME921109SLP', 'Oscar', 'Medina', 'Estrada', 'San Luis Potosí', '78250', 'Tangamanga', 'Av. Salvador Nava', '3127', 'oscar.medina@mail.com', '4445678903'
'PAAG940310AGS', 'Paola', 'Aguilar', 'Galindo', 'Aguascalientes', '20200', 'Jardines de la Concepción', 'Av. José María Chávez', '2103', 'paola.aguilar@mail.com', '4496789014'
'REHO880601JAL', 'Rebeca', 'Horta', 'Osuna', 'Jalisco', '44100', 'Ladrón de Guevara', 'Av. Vallarta', '2504', 'rebeca.horta@mail.com', '3334567006'
'SAVI870302PUE', 'Santiago', 'Viveros', 'Iñiguez', 'Puebla', '72190', 'Reserva Territorial Atlixcáyotl', 'Av. Oasis', '2305', 'santiago.viveros@mail.com', '2223456016'
'TILA930730VER', 'Tila', 'Lara', 'Acosta', 'Veracruz', '91900', 'Boca del Río', 'Blvd. Manuel Ávila Camacho', '404', 'tila.lara@mail.com', '2291234100'
'URDO880831MDF', 'Uriel', 'Domínguez', 'Obregón', 'Ciudad de México', '06000', 'Centro', 'Av. Juárez', '49', 'uriel.dominguez@mail.com', '5551000004'
